setCode,setName,questionCount
1234,NEP-2020 school teacher orientation,22
7890,NEP-2020 school leadership orientation,20
1000,Teacher lens-NEP enablement & support Readiness,19
2000,Leadership lens-NEP culture & system readiness,15
101,Leadership Demo Test,5
102,Leadership Demo Test Marathi,5
103,राष्ट्रीय शैक्षणिक धोरण (एन. ई. पी.) बाबत शिक्षकांची तयारी,22
104,शाळा प्रमुखांची राष्ट्रीय शैक्षणिक धोरण (एन. ई. पी.) बाबत सजगता,20
base001,Teacher - NEP-2020 Readiness – Enablement & Systems Baseline,19
base002,Leader - NEP-2020 Readiness – Enablement & Systems Baseline,15
base003,Teacher - NEP-2020 Readiness – Enablement & Systems Baseline (Marathi),19
base004,Leader - NEP-2020 Readiness – Enablement & Systems Baseline (Marathi),15
