teacher_id,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15
T001,D,C,D,C,B,B,C,D,D,D,D,B,B,B,D
T002,D,C,D,B,D,D,D,D,D,A,D,C,D,D,D
T003,D,C,D,B,D,D,B,D,C,C,D,B,A,B,C
T004,D,D,C,D,C,D,C,D,B,D,B,D,C,B,C
T005,D,C,D,C,C,C,C,D,A,D,C,D,D,D,C
T006,A,D,C,C,D,D,C,C,C,C,C,B,C,D,D
T007,D,D,C,C,A,C,C,C,D,C,C,B,C,D,D
T008,B,A,C,D,C,D,D,D,B,B,A,B,C,D,A
T009,C,D,B,D,C,B,D,A,D,D,B,C,B,D,C
T010,A,B,D,C,D,D,D,C,D,D,D,D,C,D,C
T011,D,D,C,C,B,D,D,C,D,C,A,C,C,C,C
T012,B,B,D,D,A,C,C,C,B,C,D,C,D,D,D
T013,C,A,C,D,D,D,C,D,C,D,B,B,C,A,C
T014,D,C,B,C,B,D,A,C,C,A,D,B,C,A,C
T015,B,C,D,C,D,D,C,A,A,C,D,C,D,D,D
T016,D,D,B,A,B,B,D,C,B,D,D,B,D,D,B
T017,D,D,B,A,C,D,D,C,D,A,D,D,B,D,D
T018,D,B,D,D,C,C,C,C,C,D,D,B,D,D,D
T019,D,C,D,D,C,D,C,C,C,D,C,D,D,A,D
T020,B,C,D,C,A,D,B,B,D,C,D,D,C,A,D
T021,A,C,B,C,C,C,B,C,A,B,C,B,C,B,C
T022,B,C,B,C,B,B,A,A,A,C,C,A,B,B,C
T023,D,C,B,A,A,B,A,A,C,B,D,C,C,A,D
T024,B,D,C,B,B,A,A,D,B,D,B,A,C,A,A
T025,C,B,D,A,C,C,C,B,C,B,B,D,D,B,C
T026,C,C,D,B,B,C,A,A,A,A,B,C,B,B,C
T027,C,B,C,D,C,C,C,D,B,C,C,D,D,A,A
T028,B,C,C,B,A,C,C,D,C,B,A,A,B,B,B
T029,A,D,D,C,D,D,C,B,A,C,B,C,D,A,C
T030,C,B,A,B,B,C,D,B,C,B,D,D,C,B,B
T031,B,D,B,C,D,C,C,B,A,B,C,C,C,B,C
T032,D,B,C,A,D,C,B,A,C,C,A,D,D,B,A
T033,D,B,C,C,B,D,D,B,C,B,D,C,D,D,B
T034,C,B,D,C,D,B,B,C,D,B,A,C,B,C,C
T035,B,B,A,C,C,B,C,A,C,C,D,B,C,D,D
T036,B,A,C,C,D,D,B,C,B,C,B,C,A,B,D
T037,B,C,C,D,D,D,B,B,C,C,D,A,A,C,D
T038,D,C,B,A,C,D,B,C,D,A,C,B,B,A,C
T039,C,C,A,A,D,C,B,D,A,B,B,B,A,D,D
T040,C,A,B,B,C,C,B,B,D,A,B,B,B,C,C
T041,D,B,D,C,B,C,C,C,A,C,B,D,B,C,C
T042,B,C,C,C,C,C,D,C,D,C,B,B,C,C,A
T043,B,C,A,A,C,D,C,D,D,B,D,B,D,C,B
T044,A,D,A,D,D,C,D,D,D,B,C,A,C,B,C
T045,C,C,D,D,A,B,A,D,C,D,B,A,D,D,B
T046,B,A,D,B,B,A,D,A,B,C,C,D,B,C,A
T047,B,A,B,B,D,A,B,B,D,D,A,C,C,D,B
T048,B,A,A,D,B,C,C,C,A,C,B,A,C,A,C
T049,B,B,D,B,A,D,A,D,A,A,B,A,C,A,A
T050,C,B,B,A,A,C,C,C,B,C,C,A,C,D,A
T051,C,C,B,B,D,A,B,B,B,B,D,A,A,B,A
T052,A,B,B,A,D,B,B,B,A,C,C,B,C,C,A
T053,B,A,A,B,B,A,B,B,B,A,D,A,C,A,A
T054,C,C,B,B,B,A,A,B,B,C,C,C,D,B,B
T055,B,A,B,A,A,C,B,C,B,C,C,D,C,B,B
T056,A,D,C,A,A,C,A,A,A,C,B,B,A,B,A
T057,C,A,B,A,B,C,C,B,A,A,A,B,B,A,B
T058,B,B,A,C,A,B,A,B,B,B,A,B,B,A,A
T059,A,A,A,A,A,C,A,B,C,B,C,C,A,C,A
T060,A,D,C,B,B,C,B,A,A,A,C,B,C,D,A
T061,C,A,B,B,B,A,A,A,A,B,A,B,D,A,C
T062,C,C,A,A,A,B,C,B,A,C,B,C,C,B,D
T063,B,B,B,C,B,A,A,B,A,A,A,B,A,B,A
T064,C,A,C,C,B,B,B,B,C,C,B,C,B,A,B
T065,A,A,A,C,A,C,B,A,A,B,B,B,A,B,A
T066,B,A,B,C,B,A,A,B,A,C,B,D,C,A,B
T067,A,A,D,B,B,B,D,A,B,C,C,B,C,C,B
T068,B,B,B,B,B,A,A,D,B,A,A,A,C,A,C
T069,C,C,A,A,C,A,B,A,C,C,C,A,B,B,B
T070,A,B,A,C,B,B,A,C,B,C,B,D,D,B,A
T071,B,B,D,C,C,A,A,B,C,B,A,C,C,A,C
T072,A,D,A,B,D,A,B,A,A,A,B,A,D,B,A
T073,D,C,B,C,A,A,C,B,A,C,B,A,A,A,C
T074,B,C,B,A,A,A,A,B,C,B,A,D,B,A,B
T075,A,A,B,B,A,B,B,A,D,A,B,B,D,B,B
T076,B,B,D,A,A,C,A,C,B,C,C,A,A,B,C
T077,A,C,B,B,B,C,A,C,B,A,A,A,A,D,B
T078,D,B,A,C,A,B,C,C,A,A,B,C,C,C,B
T079,D,B,B,D,B,C,C,A,B,C,B,A,A,B,A
T080,B,B,B,B,A,C,B,D,A,D,D,A,B,B,C
